Area affected by floods,Area affected by drought,Hailstorm-affected area,Flood damaged area,Drought damaged area,Hail damaged area,SPI3_1,SPI3_2,SPI3_3,SPI3_4,Maize sown area,Year-end mechanical power,Effective irrigated area,fertilizer application,Agricultural plastic film usage,NDVI_mean6,NDVI_mean7,NDVI_mean8,NDVI_mean9,玉米单位面积产量(公斤/公顷)
0.018982565,0.0968,0.394535422,0.014663709,0.153207788,0.458657659,0.558685446,0.492063492,0.807610994,0.585416667,0.390795164,0.681911635,0.660705488,0.340095465,0.256789097,0.556852572,0.658322636,0.734243015,0.696841113,0.439018789
0.043663673,0.237523077,0.660644357,0.025539744,0.339259496,0.650756352,0.35915493,0.641975309,0.581395349,0.379166667,0.417331923,0.709812636,0.65938676,0.346258214,0.264682292,0.396238651,0.583226359,0.656703487,0.619519095,0.397902374
0.105932523,0.091630769,0.205322179,0.025647963,0.137950846,0.117050962,0.462441315,0.75308642,0.200845666,0.75,0.432386117,0.733927464,0.658351067,0.357194233,0.263700144,0.485300476,0.605049208,0.669265757,0.71805752,0.417242094
0.084195034,0.131646154,0.227127091,0.046804827,0.118799872,0.085328242,0.284037559,0.183421517,0.154334038,0.59375,0.442420431,0.750372717,0.66854028,0.362784843,0.280612729,0.478599222,0.624946513,0.729261425,0.734323432,0.499751397
0.133632727,0.0662,0.234425062,0.135003517,0.067890201,0.179908944,0.598591549,0.497354497,0.522198732,0.835416667,0.450373565,0.767377253,0.669894649,0.367770622,0.290944924,0.495028102,0.662601626,0.741173922,0.719707685,0.500110366
0.115895539,0.038507692,0.339088644,0.105946648,0.044334504,0.232927008,0.697183099,0.439153439,0.418604651,0.64375,0.464715883,0.7847383,0.616633995,0.370565927,0.320622158,0.547773454,0.690415062,0.747888239,0.74563885,0.505140388
0.016680504,0.158138462,0.221520114,0.007575348,0.1891797,0.232486415,0.298122066,0.458553792,0.54756871,0.166666667,0.480172974,0.799708475,0.628204833,0.378036421,0.326881713,0.482922611,0.574668378,0.643491445,0.68387553,0.44997291
0.104913578,0.171184615,0.303933784,0.126778854,0.1701564,0.243060655,0.335680751,0.502645503,0.727272727,0.264583333,0.495464005,0.813000799,0.637379318,0.377840259,0.327094512,0.472114137,0.673727,0.697205978,0.694483734,0.412559893
0.358253453,0.033338462,0.228106088,0.200313836,0.006639004,0.227786753,0.762910798,0.53968254,0.670190275,0.808333333,0.501141315,0.505449895,0.639404581,0.371791938,0.328571008,0.51642888,0.708172871,0.742906649,0.7621405,0.480010345
0.020341158,0.056523077,0.188946244,0.011417131,0.04663262,0.166103686,0.784037559,0.631393298,0.283298097,0.40625,0.480441118,0.520292921,0.642974999,0.355788407,0.294739289,0.499351492,0.634146341,0.735325969,0.7378595,0.535271467
0.03909729,0.006769231,0.119615522,0.031600022,0.011522502,0.138052577,0.765258216,0.467372134,0.249471459,0.7,0.465969491,0.53073232,0.646677499,0.340095465,0.234936308,0.467790748,0.716516902,0.770413689,0.750117869,0.513697668
0.182478733,0.020153846,0.098522606,0.143303771,0.027768912,0.050521369,0.284037559,0.456790123,0.160676533,0.35625,0.461948688,0.541080306,0.644545312,0.315362736,0.213257031,0.481193256,0.629439452,0.719731427,0.718528996,0.554368159
0.309344101,0.065230769,0.631541474,0.196363833,0.088732844,0.292847702,0.868544601,0.363315697,0.420718816,0.702083333,0.327440964,0.515351617,0.717278683,0.635580475,0.208084386,0.369001297,0.736628156,0.811565952,0.659594531,0.222074572
0.413540645,0.065230769,0.112762549,0.352145447,0.045323971,0.07005434,0.34741784,0.386243386,0.433403805,0.83125,0.33946118,0.549682297,0.72462498,0.676414817,0.230333308,0.356463467,0.755027813,0.823911631,0.762611975,0.408506445
0.118725942,0.130461538,0.282306871,0.060927439,0.101723588,0.163313262,0.356807512,0.500881834,0.583509514,0.383333333,0.37258585,0.580837612,0.736088894,0.712851865,0.263029009,0.38824038,0.759734703,0.807450726,0.716407355,0.5040122
0.340327572,0.116092308,0.133232467,0.28072074,0.094158953,0.085328242,0.394366197,0.920634921,0.285412262,0.633333333,0.385245801,0.614874938,0.7438545,0.760666296,0.289890752,0.567661046,0.735558408,0.810699588,0.789250354,0.524475649
0.026228395,0.089846154,0.147294411,0.027271252,0.120012767,0.133793509,0.255868545,0.477954145,0.454545455,0.577083333,0.400180215,0.673924606,0.750848577,0.812976101,0.303369094,0.347816688,0.794180573,0.81113277,0.793493635,0.531962712
0.036153672,0.242953846,1,0.016719874,0.091892755,1,0.291079812,0.578483245,0.583509514,0.416666667,0.420659907,0.706215938,0.760037738,0.857096152,0.33813058,0.426718547,0.740265297,0.819579814,0.800565771,0.513499232
0.424786776,0.007753846,0.084816661,0.239597424,0.007979572,0.10442062,0.469483568,0.624338624,0.391120507,0.870833333,0.438169595,0.737633027,0.770086483,0.900382515,0.356545852,0.565067013,0.770860077,0.824344813,0.881188119,0.492654518
0.106838252,0.156984615,0.125400498,0.048752773,0.139818242,0.108239095,0.079812207,0.181657848,0.052854123,0.564583333,0.460616133,0.764217677,0.784653284,0.930722202,0.371726583,0.448551665,0.690629012,0.844054581,0.878123527,0.50600548
0.133783682,0.154076923,0.013260947,0.080298685,0.051962975,0.016448818,0.779342723,0.511463845,0.118393235,0.475,0.483250508,0.793880461,0.796224121,0.948245987,0.383358487,0.490488543,0.702610184,0.785141867,0.885667138,0.512790213
0.021548796,0.130476923,0.172125311,0.001136302,0.073635493,0.146276986,0.429577465,0.282186949,0.460887949,0.272916667,0.518490388,0.816919106,0.746636616,0.967764083,0.424690542,0.48335495,0.764869491,0.769547325,0.744224422,0.488879772
0.016642765,0.278353846,0.028835885,0.010713706,0.247462496,0.035834924,0.323943662,0.504409171,0.484143763,0.55625,0.543783067,0.844081321,0.774319409,0.983097394,0.410557434,0.522049287,0.633290543,0.698288932,0.790429043,0.416343558
0.018265529,0.16208088,0.131096476,0.008332882,0.14013524,0.077103833,0.460093897,0.520282187,0.938689218,0.116666667,0.568350259,0.863466758,0.79727449,1,0.405725267,0.579550367,0.687205819,0.818280269,0.85902876,0.472527742
0.076458601,0.026661538,0.119081524,0.066825388,0.023523779,0.055367895,0.767605634,0.400352734,0.811839323,0.547916667,0.571147399,0.709300722,0.804042141,0.998267238,0.409483619,0.517942067,0.794180573,0.809400043,0.736680811,0.42834337
0.347535663,0.033707692,0.078497686,0.258698122,0.047366741,0.025407549,0.941314554,0.641975309,0.498942918,0.545833333,0.542356594,0.724538487,0.810480633,0.984650342,0.390328463,0.643968872,0.718870347,0.792939138,0.843234323,0.464692859
0.085138501,0.000661538,0.083481666,0.065634976,0.001244813,0.080041122,0.657276995,0.797178131,0.549682875,0.420833333,0.531470207,0.73834522,0.813638031,0.961911923,0.375727199,0.5,0.775994865,0.782109595,0.709570957,0.592496884
0.185950671,0.124153846,0.062922748,0.141284865,0.103096074,0.037303569,0.457746479,0.544973545,0.403805497,0.11875,0.515459132,0.751019258,0.822078725,0.919295779,0.368930736,0.443363597,0.664527172,0.753519601,0.802687412,0.572896298
0.307117518,0.076307692,0.095852617,0.266814566,0.082030003,0.141577324,0.471830986,0.366843034,0.526427061,0.579166667,0.046704751,0.036885266,0.139034541,0.290270376,0.055746711,0.794422827,0.781557552,0.811999134,0.787835926,0.371933994
0.338214205,0.118615385,0.11739053,0.301498837,0.121321417,0.096343075,0.241784038,0.513227513,0.230443975,0.639583333,0.051076729,0.061297603,0.137690655,0.296661981,0.054185096,0.792261133,0.802952503,0.817630496,0.825082508,0.370134691
0.103215337,0.167553846,0.214222143,0.087062388,0.27612512,0.119107064,0.399061033,0.49382716,0.272727273,0.366666667,0.056837068,0.078398539,0.136021804,0.307532612,0.058139877,0.764159101,0.822421908,0.818930041,0.754832626,0.306737687
0.507132614,0.127784615,0.08499466,0.352145447,0.10596872,0.018064327,0.319248826,0.758377425,0.293868922,0.54375,0.058554825,0.102326385,0.144156402,0.319661948,0.066622361,0.853004756,0.848309799,0.852718215,0.863507779,0.302644106
0.443693864,0.003076923,0.296012816,0.502678426,0.004532397,0.302981348,0.105633803,0.428571429,0.247357294,0.691666667,0.064501639,0.122762244,0.193370722,0.365040704,0.068959873,0.763078253,0.840393667,0.831059129,0.859735974,0.327985962
0.312551891,0.091061538,0.141954432,0.172772036,0.047685924,0.031135262,0.600938967,0.559082892,0.634249471,0.2375,0.07106505,0.1443898,0.197549138,0.385637689,0.076047706,0.815607436,0.806161746,0.824561404,0.809759547,0.327689423
0.752773794,0.031446154,0.0249199,0.398896164,0.031407597,0.029960347,0.370892019,0.650793651,0.456659619,0.86875,0.075974677,0.170464197,0.203771686,0.402818191,0.084127509,0.808473843,0.827770646,0.831925493,0.898868458,0.349938797
0.334704506,0.185446154,0.138127447,0.1360316,0.130258538,0.054780438,0.394366197,0,0.34038055,0.314583333,0.080172429,0.18710391,0.219686566,0.409553078,0.088304911,0.799394725,0.799101412,0.833441629,0.900518623,0.375088906
0.236621632,0.144492308,0.029280883,0.178886424,0.122215129,0.034660009,0.518779343,0.546737213,0.410147992,0.45,0.088367845,0.209619006,0.239230568,0.409553078,0.088304911,0.844357977,0.83910997,0.822612086,0.867751061,0.31651011
0.170390218,0.286446154,0.05758277,0.084248688,0.235716566,0.023645176,0.727699531,0.342151675,0.541226216,0.508333333,0.086986289,0.229471482,0.290071807,0.404714421,0.092449575,0.865758755,0.824133504,0.785575049,0.838283828,0.307384277
0.10921579,0.097461538,0.038714845,0.069584979,0.057165656,0.002202967,0.072769953,0.525573192,0.287526427,0.635416667,0.099548238,0.247076852,0.303470832,0.398731487,0.101865099,0.848897536,0.846812152,0.826943903,0.880480905,0.273944442
0.328137973,0.018107692,0.040227839,0.220821384,0.018736036,0.035247467,0.741784038,0.604938272,0.839323467,0.38125,0.108778119,0.26163816,0.312659993,0.375192075,0.108854717,0.882619974,0.865639709,0.816330951,0.847006129,0.333769596
0.704204091,0.0526,0.028123888,0.66424977,0.050398979,0.027463651,0.772300469,0.435626102,1,0.75625,0.106573075,0.238338572,0.314005975,0.365531108,0.095710306,0.899913532,0.829268293,0.810266407,0.817538897,0.254165487
0.259830931,0.096415385,0.031772873,0.214328229,0.090233004,0.034660009,0.924882629,0.712522046,0.602536998,0.66875,0.106225984,0.250582968,0.316857278,0.349135254,0.091028734,0.927583225,0.844030809,0.824994585,0.909948138,0.255512177
0.053928598,0.079246154,0.012370951,0.029381527,0.08078519,0.015420767,0.568075117,0.677248677,0.363636364,0.364583333,0.104377558,0.258022348,0.319526181,0.312992448,0.08342691,0.85516645,0.841249465,0.797270955,0.810938237,0.177680616
0.19665091,0.177384615,0.036222855,0.103453063,0.129269071,0.012336613,0.659624413,0.631393298,0.427061311,0.025,0.097072327,0.265594693,0.32730227,0.277143885,0.067866415,0.873108517,0.838040223,0.787091185,0.821782178,0.196224362
